city,province,n
Javea,Ali,5
Denia,Ali,2
Javea,,2
Denia,,2
Berlin,,2
Nottingham,,2
,0,1
Ashford,Middlesex,1
Alicante,,1
Crowborough,East Sussex,1
Coxheath,Kent,1
Cambridge,,1
Calle V,Pedreguer,1
El Verger,Ali,1
Ewell,Sry,1
Denia,las Rotas,1
East Yorkshire,,1
Gata de Gorgos,,1
Fraucheleins,,1
Gentburgge,,1
Gorsley,Hef,1
Hondercange,,1
Hilsea Portsmouth,Ham,1
Javea,Alicant,1
Benidoleig,Ali,1
Javea,Benitachell,1
Kingston Upon Thames,London,1
Langenpreising,Ba,1
Kortrijk,West Vlaanderen,1
Les Baux de Provenci,,1
London,,1
Maarn,Ut,1
Langford Beds,England,1
Madrid,,1
Marbella,,1
Montrouge,France,1
Marval,Pa,1
Málaga,,1
Nongrue,"Banglamung, Chinburi",1
Overath,,1
Pedreguer,,1
Pego,'03730,1
Pego,Monte Pego,1
Plymonth,,1
Pont Pierre,,1
Reading,Lnd,1
Sagra,,1
Son Valenti,Palma de Mallorca,1
Staverton,Totnes,1
Unteraegeri,Unteraegeri,1
Usa,,1
Valencia,,1
Verger,Ali,1
Vesenaz,Suiza,1
Vichayito,,1
Villajoyosa,,1
Witterswil,Ar,1
